project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor_1,00ecc2212660e3d31c1c5098e5bbef618ece5ef8,1,1,1,0,6622,1851.76,835,15,254.947,72,0,13,14,1711
tor_1,00ee62b8a55a81518458f99f822c4147e121a4d3,0,0,0,0,11980,2800.85,0,0,0,0,0,0,0,0
tor_1,00f1d1653e4ff703cfbcf82060b229ca8a39030d,1,2,9,0.311481,16868,4305.33,7509,103,0.00552984,592.111,0,36,16,4075.78
tor_1,00f2b8028a18e6023bf78ea83355fc32a89fd1c7,1,1,1,0,2175,996.778,2066,4,0.200475,0,0,2,2,298
tor_1,00f59098767766cc594c89837781c28a1ec67682,2,2,2,0.523683,10058,2520.3,5859,16,4.43447,103,0,13,0,368
tor_1,00f714b37408381206af02951758b2505aabee1f,1,2,4,0.323327,1793,581.327,1081,4,35.6472,12.5,0,39,0,572.75
tor_1,00f74e0372a956f9db590e1cb2ddcfb265125023,1,1,4,0.359814,12029,2831.54,5620,38,125.492,624.25,0,19,16,3177
tor_1,00f78af2d784c0096a1c757d307f7160db811539,0,0,0,0,397,194.996,0,0,0,0,0,0,0,0
tor_1,00f921edb90f6267b22748c86caf4de707df4425,0,0,0,0,769,272.221,0,0,0,0,0,0,0,0
tor_1,00f95c208e1098ddc575ccb07e167c2548b02b2e,2,2,12,0.58641,6761,1084.11,1483,14,15.2898,152.083,0,37,56,1286.17
tor_1,00f9a356784eab8214b23888122cb0ed1a0fda43,1,1,1,0,85,56.4936,24,7,2.70741,173,0,21,5,2347
tor_1,00fae9a500475d7ebf1dd0f56c7fc78e2567c818,1,1,1,0,6883,1914.95,1155,14,12.0735,1705,0,1,8,12103
tor_1,00fafe9ab43a6ee8ca5d1338995f9c64b338bdc1,1,1,2,0.608022,6892,997.343,1264,14,33.5611,938,0,78,0,13317.5
tor_1,00fb525b23cf070fb229e1073caae47e6401f1e2,1,1,1,0,6731,1085.14,1199,14,0.0303704,1810,0,12,7,15349
tor_1,00fcd66218282d8bf655820c0609a67d96500d3a,1,1,1,0,5121,1655.32,864,3,0.166053,395,0,9,5,3916
tor_1,00fd0cc5f91ad431c4beb25b8cc8f89ff1462268,1,2,3,0.484196,8670,2190.56,4007,28,4.59945,393,0,24,12,1482.67
tor_1,00fdaaee1e3cdfe40230a866c497d3648c43940c,1,4,7,0.25632,588,253.112,464,32,-99.5411,54.1429,0,264,8,765.714
tor_1,00fdcf27f5ff234d67f865600dd95489f127a0a3,1,1,1,0,2610,1180.28,101,7,6.51597,333,0,7,1,819
tor_1,00fe214729b935adc522883fa84b399429fefa74,0,0,0,0,20156,4501.28,0,0,0,0,0,0,0,0
tor_1,00ff6dffa15fbdfbada975ead8ef3928f5cf6504,1,1,1,0,1500,555.028,62,60,0.0933102,1490,0,1,1,2898
tor_1,00ff80e0ae3a07ff3e2148d66d59716bc4630096,1,2,5,0.413015,6286,1776.2,2744,7,5.13538,271.4,0,16,11,2074
tor_1,00ffc474694ecd07ceea1ec54033e99b9b0e4057,1,1,1,0,164,123.601,44,1,1.80385,10,0,18,15,24
tor_1,00ffccd9a6d9b7f484c2e421be33aea3975a2879,1,3,14,0.780711,9739,2382.78,4586,26,47.5673,116.143,1,54,39,1698.79
tor_1,00ffefb41bc63d17ff68b7af2c9e8253715c12f3,1,1,2,0.0789627,9,8.89478,9,15,6.83532,72.5,0,20,14,1671
tor_1,00fff96e4884e295a767532aa570abf8d27e75ee,2,2,2,0.278129,337,184.991,341,2,30.7571,3,1,9,2,16
tor_1,00fffbc1a15e2696a89c721d0c94dc333ff419ef,2,2,2,0.125247,160,113.997,203,7,58.5229,353.5,1,77,1,1854.5
tor_1,0102aaeb6b513fb40fef51103780fe121e13f549,1,1,1,0,7932,2116.72,3611,5,67.0813,52,1,4,0,357
tor_1,01030a4db2c9aae4479ee9df431a75f41e75025c,1,1,1,0,75,59.0851,54,8,1.49531,499,0,10,2,1271
tor_1,01037c106d3a00614646db0d45a07a925121a07f,0,0,0,0,16403,4209.31,0,0,0,0,0,0,0,0
tor_1,010387e4bda401821ce05a67c6f1db60200275e7,0,0,0,0,20681,4327.22,0,0,0,0,0,0,0,0
tor_1,0104882e9b320a6b9b5d02fdd8b638d90fff1a1c,1,1,1,0,4395,1557.03,406,7,0.0230903,782,0,4,0,2636
tor_1,0106ebd26e2749583ab614df4f52f4be2fde5e69,1,2,5,0.275632,566,421.441,559,6,0.584278,0,1,68,24,686.8
tor_1,010779176bb959c8106a95806ede2c80b4397f60,1,1,2,0.0570388,107,62.5902,83,5,10.6039,20,1,81,34,1734.5
