project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
pig,76dcb17d604491cffa21bfa1269ec1545ecd054c,3,4,6,0,81,69.1965,119,1,0.000000,0.166667,0,89,5,15.666667
pig,e7aeda25fe2b38f3c22fb80f3a8f9d031a47370b,3,2,1,0,51,43.6648,106,1,0.000000,1.000000,0,2,2,4.000000
pig,c9845ac9b5c2c123eaace130ec5de56bdaf17847,3,5,4,0,82,70.1844,122,1,0.000000,0.250000,0,17,53,17.500000
pig,4093359dda9b6d39b778a695e97303225b5844a6,2,2,3,0,52,44.5574,88,1,0.000000,0.333333,1,45,3,16.000000
pig,0c8983aec5cfcbec76ace31610d2018e7f4e7a74,3,1,19,0,83,70.725,113,1,0.000000,0.052632,0,301,460,40.052632
pig,189f1749081f777012cde9624e0ca91f6ed2c9bb,2,4,11,0,84,71.3812,123,1,0.000000,0.090909,1,78,20,8.909091
pig,3c63ebeca4b399ec62bd0db7e1f49e17a3733921,3,3,3,0,53,45.1454,111,1,0.000000,0.333333,0,48,8,18.666667
pig,8904438e8f18d4f3fbdf42adb3492aa9990874c4,2,3,2,0,54,46.1344,92,1,0.000000,0.500000,0,28,3,15.500000
pig,b9c0180be1aa33ac7ee34cb37b3cfc178377f301,3,4,25,0,85,72.345,136,1,0.000000,0.040000,0,1567,16,63.320000
pig,5ab0ea3e8e0bc9d900271efbe0928a40d1bcaebf,1,1,1,0,86,73.3377,38,1,0.000000,1.000000,1,1,1,2.000000
pig,060e98fe055c106dd55ea779aa5678aea12d39b1,3,3,3,0,87,74.3376,140,1,0.000000,0.333333,0,342,0,114.000000
pig,a2cd4c8948eb9261ddfd0b55c1b742f146c25b41,2,1,1,0,55,47.1134,94,1,0.000000,1.000000,1,4,1,5.000000
pig,e061f06f2d56c14eb7edbe9c2f2c7fad6c9724d9,2,1,1,0,56,48.1107,96,1,0.000000,1.000000,1,4,1,5.000000
pig,e9c035c3ea29237f2098fc1484bfff6093601da2,3,7,61,0,88,75.1733,143,1,0.000000,0.016393,0,1777,2530,70.606557
pig,96a1a8a0cbc434844c093223e124b0d777808ad5,3,3,3,0,57,48.9856,120,1,0.000000,0.333333,0,127,2,43.000000
pig,8b473971fadc6ef087c654e52ab6ab1442dde25a,2,1,0,0,58,49.5539,100,1,0,0,0,0,0,0
pig,31cc2b1c08fd98a1a7afe279e2ee38e14076a364,2,3,3,0,89,75.3159,128,1,0.000000,0.333333,1,31,5,12.000000
pig,066bec044cf7918024dd1b47849e0a04a34421ca,2,4,6,0,90,76.3114,117,1,0.000000,0.166667,1,567,0,94.500000
pig,bdf092116f346351f62de2e0117b8b7d759fe8ee,4,22,75,0,91,77.2811,154,1,0.000000,0.013333,1,5985,196,82.413333
pig,545d6baaf280a323379b4a757045022d34c732bf,2,5,31,0,92,78.2691,121,1,0.000000,0.032258,0,673,291,31.096774
pig,66104f89f23f6a3cb0cdbe0035fa0a321b2ca8d5,3,12,42,0,93,79.2682,126,1,0.000000,0.023810,1,2722,2722,129.619048
pig,6e3fd709da09f2ad14713d5ee02ae949f1a20d45,3,5,19,0,94,79.9183,156,1,0.000000,0.052632,0,2606,404,158.421053
pig,3ddbfb832adf1940374ba32ad6c7bbf932255c27,3,3,3,0,95,80.9136,159,1,0.000000,0.333333,1,230,0,76.666667
pig,4cc5bf4d53d2f8c826a8234381f134c4136869f9,3,13,32,0,96,81.8705,162,1,0.000000,0.031250,0,3087,1192,133.718750
pig,c9071e333e029cbd091dc1fd173c60eae9bc67f2,3,5,10,0,97,82.7056,165,1,0.000000,0.100000,1,296,182,47.800000
pig,e2a8f91a4f646047eaa1749910764608ac2b80e4,2,7,14,0,98,83.7032,133,1,0.000000,0.071429,0,199,226,30.357143
pig,865f5f9f1068602110fede8c37247aac019c2c01,2,2,1,0,99,84.1632,135,1,0.000000,1.000000,0,22,0,22.000000
pig,79904584108c1c32a864aebad6faf4b51fb87452,2,4,13,0,100,85.1569,121,1,0.000000,0.076923,1,253,100,27.153846
pig,efff68d335434b41494604598fdd14a27f1126f6,3,3,6,0,101,86.1203,174,1,0.000000,0.166667,0,1913,33,324.333333
pig,e21a1f2951337996bff39b1c32f020239a5b336a,3,11,48,0,102,87.1186,177,1,0.000000,0.020833,1,202,4210,91.916667
pig,0a1bb636d1531747fe921496ad22d94a43838783,2,4,8,0,103,87.8931,142,1,0.000000,0.125000,1,80,72,19.000000
pig,aaab42dddad4c7152ad595fe2a7542cbf667d935,2,13,22,0,104,88.8791,144,1,0.000000,0.045455,1,594,605,54.500000
pig,ed2409532ed6743ed82a07db84dcf6e53f4a4d0e,2,7,11,0,105,89.7334,146,1,0.000000,0.090909,0,2051,305,214.181818
pig,ded7bd765bc97b6af998b65bab3d9221a7b5fce2,1,2,2,0,106,90.6968,92,1,0.000000,0.500000,0,35,10,22.500000
pig,f1e3e3262e568420a1c893ec79d248401755345f,3,6,20,0,107,91.5021,187,1,0.000000,0.050000,0,4291,1025,265.800000
pig,fee0f2c3f9c9cd12e4bf40ca424b745e2741cd6e,2,4,6,0,108,92.4851,151,1,0.000000,0.166667,0,33,24,9.500000
pig,3f54d899be023f0382abff189079f4ec8d0f09eb,4,8,11,0,59,49.3711,117,1,0.000000,0.090909,0,110,59,15.363636
pig,d608efb2979ee28615a29cb36704241fd084309a,1,4,4,0,109,93.4683,95,1,0.000000,0.250000,0,56,17,18.250000
pig,ffb864b1bf4ce873f70012db6bd97829afeaf55b,2,14,57,0,110,94.4275,154,1,0.000000,0.017544,0,150,314,8.140351
pig,b45cc49b4b6ba7fb07224ee98e02a7ffe06ae15f,3,4,4,0,60,50.2408,127,1,0.000000,0.250000,0,45,11,14.000000
pig,ac4e323281c247f8edd9aa4af40a27b154e7f112,2,4,3,0,111,95.2258,156,1,0.000000,0.333333,1,24,33,19.000000
pig,09290b02bcc5dc41d89f0a5c1ffe08c9e6ecb3d9,2,1,1,0,112,96.2119,137,1,0.000000,1.000000,1,51,73,124.000000
pig,70ea5d06877e1c7e2c3a398e92261504c3f6343f,2,16,118,0,113,96.3695,159,1,0.000000,0.008475,0,146,106,2.135593
pig,106cd728fc32e710611d01c7c1573e5415b5fbad,2,3,2,0,114,97.3655,161,1,0.000000,0.500000,1,3,2,2.500000
pig,a01533fd51624c20f4cc854bf7c2d6b4308fcc1e,2,3,4,0,115,98.3431,163,1,0.000000,0.250000,1,95,24,29.750000
pig,42a0384e358e314f59edb1cdbbd5173bbb569348,1,3,2,0,116,99.3173,102,1,0.000000,0.500000,1,4,18,11.000000
pig,47e738d6a9a320c7b6abace48aeef35b88cd262b,1,1,1,0,117,100.15,103,1,0.000000,1.000000,1,1,0,1.000000
pig,0f9ab3fffe28ec45ce2e04f867c597c788e861f7,2,6,8,0,118,101.143,167,1,0.000000,0.125000,1,535,10,68.125000
pig,2e0b52307830e6bebf5e905f14d0addfd165d858,2,1,1,0,61,50.6615,106,1,0.000000,1.000000,0,6,2,8.000000
pig,faf1756f531aec29b4a49e5a3100b7cf9ae53b1c,1,3,2,0,119,101.894,105,1,0.000000,0.500000,1,24,11,17.500000
pig,a0670ff9bcae6c0d34cc3523966f3c8ddcae2e9e,2,1,2,0,62,51.5515,108,1,0.000000,0.500000,0,1,7,4.000000
