project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor,0118d98b1342b5e135b5a25f2809af627b8602f9,1,1,1,0,6133,1779.37,253,0,0,0,0,7,0,0
tor,011941853cc7f7211b1d57b0b43b6bbbfb013ad1,2,2,3,0.312401,177,86.0842,155,4,76.0113,264.667,0,7,20,273
tor,0119f554dae68ab7fe8a872ba202091735a6c488,1,1,1,0,1650,922.151,362,4,0.0135648,353,0,16,3,220
tor,011ad3cba5dadceb4b204aced00e3cd598465d1d,1,1,13,0.575445,1791,1099.4,1243,6,6.57562,84.7692,1,54,53,959.923
tor,011b7324366ec9b4c5546b42cb702b440ab7c672,1,1,1,0,24,14.1112,13,2,36.819,3,0,31,41,188
tor,011ccbbf8d15f24849c9d7357f61142db8b9099e,1,1,3,0.655459,1190,819.768,830,5,9.9631,149,0,4,6,983.667
tor,011d94fb11c0ccd8d009acba04304588f6d3694b,1,1,36,0.4494,13807,3424.65,8321,62,59.5715,54.1111,0,465,468,1510.31
tor,012068935a632fa3d578cee956b6aed141055379,2,2,2,0.734496,7778,2099.64,6017,5,27.2958,33,1,8,2,391.5
tor,0121caef61abb0d8e2d0e6cc92aaadf507603387,1,1,3,0.627308,4317,1444.63,1045,6,93.566,27,0,9,6,237
tor,012255fe60af64f89d094da86e99534c94b63c34,1,1,2,0.57938,1774,1093.24,1233,3,2.41205,238,1,4,2,1408
tor,0124b10d2850c42e61a4ba65f61af579b47f425b,3,3,3,0.705321,7961,2182.1,7364,44,2.21044,526.333,0,6,3,2786.67
tor,0126150c2d42c028c208529caf853c0d19ec4f5f,0,0,0,0,6565,1835.63,0,0,0,0,0,0,0,0
tor,0127888b0623696d654125b4fa69200485e65a7f,1,1,1,0,104,58.732,91,5,221.374,57,0,51,1,859
tor,012c44538ce15a3e45d6cdea0935062bdcaf5bf4,1,1,3,1,654,455.387,198,6,187.139,9.66667,0,14,1,216.667
tor,0130e7c9d2842ad58e1b84829aeab16a2efba3bb,0,0,0,0,5758,1581.96,0,0,0,0,0,0,0,0
tor,013104a1e2cf150a06972693eeda14d55fc381d5,1,1,1,0,1422,873.541,984,2,0.405891,109,0,1,1,795
tor,0131d94a6c7759e0160b946aea2d341eb06dead3,1,1,1,0,1370,880.172,952,4,0.0069213,140,0,3,6,1074
tor,0133169481edd4094ec422da09bb68547bca4b50,1,2,2,0.650811,708,270.523,499,3,-0.00206019,3,0,61,13,300
tor,0133411df97ec2edbc795abe8fd207e92d59b596,1,1,2,0.647965,127,83.674,107,3,0.0197801,48.5,0,8,3,246.5
tor,01334589f1eae801b4ed8fb72fe3816ad5b0fe78,1,1,1,0,10893,2612.75,6892,61,27.4472,1728,0,3,4,7383
tor,013550d6453715d316dc982a190f7fcd47e01cfd,1,1,1,0,19364,3841.43,2285,19,0.00375,2274,0,39,56,36823
tor,01357d6b163b1823811435871c92d6972b4eb65d,2,2,2,0.87387,5570,1041.78,1179,14,0.228322,844.5,0,5,6,5645.5
tor,013a1238336ab860a9c9998e1aec6bc211f33fb3,1,1,1,0,16565,4318.07,2141,0,0,0,0,3,0,0
tor,013c4e1467c8de01df7a5725629072254ab4c10a,1,1,3,0.209322,335,233.036,270,4,1.2526,63.3333,0,110,105,570
tor,0140052a356cdcfe0e2da25aee6b8c376815528c,1,2,3,0.607831,407,147.7,384,9,26.8097,46.3333,0,7,4,1255.33
tor,01404d7c52a7c9b5756a73d662811da70d7a8378,0,0,0,0,13516,3366.66,0,0,0,0,0,0,0,0
tor,01407f9718a7b1eb4e43b46c2799a390551aad29,0,0,0,0,7842,2145.98,0,0,0,0,0,0,0,0
tor,014198e7586bed539b6dc827d7ef8be4e346cd7b,2,3,4,0.169414,968,663.98,34,1,0.298241,0.5,0,557,2,12.75
tor,0142a568d30034088cabb67849e9c8828fb18318,1,1,1,0,173,136.733,155,3,3.24878,69,0,7,0,295
tor,01482e30ad8a453f3721ef17a4a9633806b90684,0,0,0,0,12100,2870.32,0,0,0,0,0,0,0,0
