fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,project,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
a2d882aba9095bcd210fd956216f764fa3637eee,5993be42aefae45533bf7b5684ace1b47ef42e5b,0,0,0,0,102,599,Parrot,2.0,3.0,3.0,0.0275663,595.0,501.658,479.0,2.0,0.601269,41.3333,0.0,582.0,17.0,1461.0
a2d882aba9095bcd210fd956216f764fa3637eee,c39f7438993448469f4674ede93d7a0910a33661,0,0,0,0,283,41,Parrot,2.0,2.0,3.0,0.604166,432.0,354.912,85.0,2.0,7.92407,14.0,0.0,12.0,29.0,224.0
a2d882aba9095bcd210fd956216f764fa3637eee,6c45a765dd72846d9a8bda711ff968fe21434186,0,0,0,0,63,32,Parrot,3.0,4.0,5.0,0.742406,2.0,1.99997,3.0,2.0,6.34864,26.8,0.0,16.0,16.0,486.6
a2d882aba9095bcd210fd956216f764fa3637eee,08732d555c30c7679c4de63a230a991798744385,0,0,0,0,200,5,Parrot,1.0,1.0,1.0,0.0,509.0,424.364,330.0,2.0,0.00140046,31.0,0.0,4.0,1.0,817.0
a2d882aba9095bcd210fd956216f764fa3637eee,a53ebb90877c89f878277a8ae5b35af9b9da26e7,0,0,0,0,429,10,Parrot,1.0,2.0,2.0,0.310917,335.0,295.748,243.0,2.0,0.034728,16.5,0.0,6.0,4.0,464.5
a2d882aba9095bcd210fd956216f764fa3637eee,62f170d64552e453a2dfee411c384f14ac9a040b,0,0,0,0,359,155,Parrot,2.0,2.0,3.0,0.226198,381.0,325.11,337.0,2.0,10.3197,15.0,1.0,147.0,8.0,220.333
a2d882aba9095bcd210fd956216f764fa3637eee,2a81cc123e0998ac331b0fe628525f144871ccbe,0,0,0,0,317,24,Parrot,1.0,1.0,1.0,0.0,413.0,352.138,58.0,2.0,0.0231019,13.0,0.0,21.0,3.0,58.0
a2d882aba9095bcd210fd956216f764fa3637eee,3daf1f8aaef9aa76e31d8880942199e3903f48e7,0,0,0,0,133,40,Parrot,1.0,1.0,1.0,0.0,564.0,472.875,356.0,2.0,40.8101,39.0,1.0,20.0,20.0,487.0
a2d882aba9095bcd210fd956216f764fa3637eee,45219e2fcbca8472ee2222b433afe0fa138891dc,1,0,0,0,987,7404,Parrot,3.0,8.0,29.0,0.292993,136.0,131.501,161.0,1.0,5.49612,3.24138,0.0,3678.0,3726.0,183.793
a2d882aba9095bcd210fd956216f764fa3637eee,ff2929dba5e0f5edf8d65df82031ac1f12d67a65,0,0,0,0,50,44,,,,,,,,,,,,,,,
a2d882aba9095bcd210fd956216f764fa3637eee,212d24805fbacdac857a23062fa25240ec494383,0,0,0,0,478,13,Parrot,2.0,2.0,2.0,0.229363,308.0,275.337,279.0,2.0,9.7726,34.5,0.0,9.0,4.0,137.5
a2d882aba9095bcd210fd956216f764fa3637eee,b198c4c283e722dc09945c57ca8bb0ef7584d5c1,0,0,0,0,427,71,Parrot,1.0,2.0,6.0,0.399737,337.0,297.399,245.0,2.0,0.622595,7.33333,0.0,56.0,15.0,309.167
