fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp
ddb0ef98f7986cf27f767348c7e181d991acb4ec,9694a0f7eaf7c105c44e2b3beb1578986f36a143,0,1,1,1,112,218,109.0,109.0,97.6154,1.0,2.0,13.0,0.735815,1.0,4.0,1.8454,2.69231,98.0,90.6631,30.0
d5e970b93fc0e5ab9d284c265b170eecee2ad0ad,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,1,1,1,6,1118,666.0,452.0,211.182,1.0,4.0,11.0,0.270931,1.0,7.0,12.5073,4.18182,27.0,25.2182,18.0
6f2848f4a6027daf9ba77e2f7f62a563fd96cf1a,8c37499af82e57f0487319abca2242cbad4024b8,0,1,1,1,499,72,52.0,20.0,40.0,1.0,1.0,1.0,0.0,0.0,1.0,4.57844,0.0,0.0,0.0,0.0
5ef3c1b09b486d711b556655c28b93e207a90399,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,1,1,1,14,1118,666.0,452.0,211.182,1.0,4.0,11.0,0.270931,1.0,7.0,12.5073,4.18182,27.0,25.2182,18.0
d542621155fff0ef5d59a4e5bb373ff7e7754d3b,60099341766faf7dd9409f1f660b8edb974a8b0e,0,1,1,1,150,372,123.0,249.0,141.0,1.0,1.0,8.0,0.307625,0.0,8.0,0.00256221,2.875,62.0,58.5059,50.0
25e2cd0db6673f0ae80534b983b57a8cde1a0be4,ed54fff2046fe6093078f625280725fcb19b9b33,0,1,1,1,181,210,210.0,0.0,21.3333,1.0,2.0,3.0,0.161064,0.0,5.0,4.33336,2.66667,20.0,18.7775,11.0
5fae286cf448359d5a826acf7449ddc9edbad948,60099341766faf7dd9409f1f660b8edb974a8b0e,0,1,1,1,172,372,123.0,249.0,141.0,1.0,1.0,8.0,0.307625,0.0,8.0,0.00256221,2.875,62.0,58.5059,50.0
a558e560bd98446a4876e2feefe640c7cbde1681,2246f530af5436ed15f4024389f847c48096ea82,0,0,0,0,248,58,58.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,26.5806,25.0
a558e560bd98446a4876e2feefe640c7cbde1681,955b472f8bd56c947f146b8b3d20b905fbc8b413,1,0,1,0,578,111,100.0,11.0,132.714,1.0,5.0,7.0,0.667237,0.0,4.0,0.235033,0.714286,2.0,1.9956,2.0
a558e560bd98446a4876e2feefe640c7cbde1681,05341fb3b3492194140c7ad77fca96a6f6ad74da,0,1,0,1,208,157,156.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,1.0,1.19728,2.0,36.0,32.9737,24.0
cbe86e04b3fdfee584f538e399b91863bd6c0feb,b9b300fcbd9b07a98486ba27827af662f99106b0,0,1,1,1,163,24,13.0,11.0,176.0,1.0,1.0,1.0,0.0,0.0,3.0,0.260567,7.0,105.0,97.5786,35.0
744b54a829f4b66e77ecf6e8f7894a6ab7863011,21ea1ac61e087fe5d6d273f7e129cd5287b134c1,0,0,1,0,208,33,31.0,2.0,46.0,1.0,1.0,2.0,0.175022,0.0,1.0,0.00868634,6.0,51.0,47.5195,39.0
744b54a829f4b66e77ecf6e8f7894a6ab7863011,3be6083ea4da2765d647ef3a18b08fc13c8e6766,0,1,0,1,185,86,64.0,22.0,242.0,1.0,3.0,3.0,0.241913,0.0,5.0,11.437,5.66667,100.0,92.6385,32.0
406dcbd8daa8bf6e17348006c938168ab6c08e53,0db4077c3ac7c914c30169cce6ab7ddfb8aec3c9,0,1,0,0,12,183,144.0,39.0,61.6667,1.0,1.0,3.0,0.250264,0.0,8.0,12.6391,5.66667,1.0,0.994182,1.0
